input_address,cbsa_code,cbsa_name,cbsa_type,scrape_timestamp,service_name_group,lot_size,treatment_area,cost,discount,net_cost,total_cost
"6066 ABIGAIL BLUFFS DR, MEMPHIS, TN 38135",32820,"Memphis, TN-MS-AR",Metropolitan,2026-03-17T21:22:17.078677,Mosquito Control,7889.7,7889.7,79.0,0.0,79.0,79.0
"6066 ABIGAIL BLUFFS DR, MEMPHIS, TN 38135",32820,"Memphis, TN-MS-AR",Metropolitan,2026-03-17T21:22:17.078677,Aeration,7889.7,7889.7,249.2,0.0,249.2,249.2
"6066 ABIGAIL BLUFFS DR, MEMPHIS, TN 38135",32820,"Memphis, TN-MS-AR",Metropolitan,2026-03-17T21:22:17.078677,Soil Management,7889.7,7889.7,269.6,0.0,269.6,269.6
"7108 FARMHOUSE DR, MEMPHIS, TN 38125",32820,"Memphis, TN-MS-AR",Metropolitan,2026-03-17T21:22:24.207238,Weed Control,5304.0,5304.0,75.85,0.0,75.85,75.85
"7108 FARMHOUSE DR, MEMPHIS, TN 38125",32820,"Memphis, TN-MS-AR",Metropolitan,2026-03-17T21:22:24.207238,Fertilization,5304.0,5304.0,75.85,0.0,75.85,75.85
"7108 FARMHOUSE DR, MEMPHIS, TN 38125",32820,"Memphis, TN-MS-AR",Metropolitan,2026-03-17T21:22:24.207238,Liming,5304.0,5304.0,75.85,0.0,75.85,75.85
"7108 FARMHOUSE DR, MEMPHIS, TN 38125",32820,"Memphis, TN-MS-AR",Metropolitan,2026-03-17T21:22:24.207238,Disease Control,5304.0,5304.0,104.5,0.0,104.5,104.5
"7108 FARMHOUSE DR, MEMPHIS, TN 38125",32820,"Memphis, TN-MS-AR",Metropolitan,2026-03-17T21:22:24.207238,Mosquito Control,5304.0,5304.0,79.0,0.0,79.0,79.0
"7108 FARMHOUSE DR, MEMPHIS, TN 38125",32820,"Memphis, TN-MS-AR",Metropolitan,2026-03-17T21:22:24.207238,Aeration,5304.0,5304.0,182.1,0.0,182.1,182.1
"7108 FARMHOUSE DR, MEMPHIS, TN 38125",32820,"Memphis, TN-MS-AR",Metropolitan,2026-03-17T21:22:24.207238,Soil Management,5304.0,5304.0,191.1,0.0,191.1,191.1
